,3P,3PA,3PPct,AST,BLK,Date,FG,FGA,FGPct,FT,FTA,FTPct,ORB,Opp,Opp3P,Opp3PA,Opp3PPct,OppAST,OppBLK,OppFG,OppFGA,OppFGPct,OppFT,OppFTA,OppFTPct,OppORB,OppPF,OppPts,OppSTL,OppTOV,OppTRB,PF,Result,STL,Season,TOV,TRB,Team,TmPts,loc,OppLC
101581,9.0,21.0,0.429,10.0,2.0,2020-02-08,19.0,43.0,0.442,17.0,25.0,0.68,4.0,Texas-Rio Grande Valley,7.0,11.0,0.636,15.0,1.0,22.0,43.0,0.512,24.0,32.0,0.75,5.0,23.0,75.0,4.0,15.0,24.0,25.0,L,5.0,2020,18.0,22.0,chicago-state,64.0,,texas-pan-american
101582,3.0,16.0,0.188,6.0,3.0,2020-02-13,15.0,43.0,0.349,21.0,26.0,0.8079999999999999,5.0,Cal State Bakersfield,3.0,15.0,0.2,14.0,3.0,24.0,54.0,0.444,13.0,21.0,0.619,12.0,24.0,64.0,9.0,11.0,30.0,23.0,L,5.0,2020,17.0,24.0,chicago-state,54.0,@,cal-state-bakersfield
101583,4.0,13.0,0.308,12.0,0.0,2020-02-15,18.0,44.0,0.409,7.0,12.0,0.583,3.0,Grand Canyon,5.0,17.0,0.294,13.0,0.0,26.0,53.0,0.491,14.0,22.0,0.636,7.0,14.0,71.0,9.0,7.0,31.0,20.0,L,2.0,2020,17.0,25.0,chicago-state,47.0,@,grand-canyon
101584,5.0,21.0,0.23800000000000002,10.0,2.0,2020-02-22,20.0,48.0,0.41700000000000004,8.0,13.0,0.615,4.0,California Baptist,18.0,29.0,0.621,16.0,0.0,32.0,54.0,0.593,13.0,14.0,0.929,2.0,16.0,95.0,9.0,5.0,28.0,14.0,L,2.0,2020,12.0,23.0,chicago-state,53.0,,california-baptist
101585,6.0,16.0,0.375,9.0,1.0,2020-02-29,17.0,35.0,0.486,18.0,23.0,0.7829999999999999,2.0,UMKC,8.0,23.0,0.348,14.0,1.0,28.0,56.0,0.5,16.0,24.0,0.667,11.0,20.0,80.0,8.0,8.0,26.0,19.0,L,1.0,2020,19.0,22.0,chicago-state,58.0,@,missouri-kansas-city
101586,6.0,20.0,0.3,5.0,3.0,2019-11-05,20.0,56.0,0.35700000000000004,9.0,15.0,0.6,7.0,College of Charleston,3.0,18.0,0.16699999999999998,7.0,1.0,25.0,56.0,0.446,21.0,28.0,0.75,8.0,15.0,74.0,6.0,10.0,40.0,23.0,L,3.0,2020,12.0,29.0,south-carolina-upstate,55.0,@,college-of-charleston
101588,7.0,29.0,0.24100000000000002,12.0,2.0,2019-11-11,23.0,65.0,0.354,11.0,23.0,0.478,10.0,North Carolina Central,9.0,18.0,0.5,16.0,2.0,23.0,46.0,0.5,18.0,23.0,0.7829999999999999,8.0,25.0,73.0,6.0,26.0,38.0,22.0,L,5.0,2020,13.0,28.0,south-carolina-upstate,64.0,@,north-carolina-central
101589,3.0,25.0,0.12,8.0,2.0,2019-11-13,20.0,53.0,0.377,14.0,18.0,0.778,7.0,Virginia Tech,13.0,27.0,0.48100000000000004,19.0,6.0,31.0,58.0,0.534,5.0,7.0,0.7140000000000001,4.0,11.0,80.0,6.0,8.0,26.0,10.0,L,3.0,2020,13.0,30.0,south-carolina-upstate,57.0,@,virginia-tech
101590,5.0,16.0,0.313,3.0,3.0,2019-11-18,18.0,67.0,0.26899999999999996,4.0,13.0,0.308,11.0,Akron,6.0,19.0,0.316,11.0,6.0,23.0,54.0,0.426,24.0,34.0,0.706,10.0,14.0,76.0,4.0,11.0,42.0,26.0,L,2.0,2020,9.0,31.0,south-carolina-upstate,45.0,@,akron
101591,9.0,24.0,0.375,8.0,0.0,2019-11-20,16.0,49.0,0.327,9.0,11.0,0.818,4.0,Louisville,9.0,21.0,0.429,22.0,1.0,29.0,57.0,0.509,9.0,12.0,0.75,11.0,11.0,76.0,6.0,11.0,39.0,12.0,L,7.0,2020,12.0,19.0,south-carolina-upstate,50.0,@,louisville
101592,8.0,22.0,0.364,13.0,2.0,2019-11-23,20.0,55.0,0.364,13.0,17.0,0.765,4.0,Youngstown State,5.0,17.0,0.294,8.0,5.0,18.0,50.0,0.36,25.0,32.0,0.7809999999999999,6.0,14.0,66.0,6.0,13.0,32.0,21.0,L,4.0,2020,16.0,29.0,south-carolina-upstate,61.0,,youngstown-state
101593,5.0,24.0,0.20800000000000002,12.0,1.0,2019-11-30,19.0,56.0,0.33899999999999997,4.0,9.0,0.444,6.0,Charlotte,11.0,24.0,0.45799999999999996,14.0,6.0,29.0,51.0,0.569,14.0,18.0,0.778,5.0,12.0,83.0,10.0,9.0,35.0,10.0,L,5.0,2020,14.0,26.0,south-carolina-upstate,47.0,@,charlotte
101594,7.0,20.0,0.35,13.0,2.0,2019-12-03,21.0,54.0,0.389,30.0,38.0,0.789,4.0,Eastern Kentucky,7.0,28.0,0.25,11.0,1.0,19.0,58.0,0.32799999999999996,22.0,29.0,0.759,5.0,25.0,67.0,8.0,18.0,36.0,24.0,W,5.0,2020,16.0,38.0,south-carolina-upstate,79.0,,eastern-kentucky
101595,9.0,21.0,0.429,15.0,3.0,2019-12-08,28.0,50.0,0.56,7.0,11.0,0.636,2.0,Furman,9.0,25.0,0.36,17.0,3.0,31.0,60.0,0.517,13.0,20.0,0.65,8.0,10.0,84.0,8.0,8.0,27.0,16.0,L,6.0,2020,13.0,20.0,south-carolina-upstate,72.0,@,furman
101596,8.0,20.0,0.4,10.0,1.0,2019-12-18,25.0,54.0,0.46299999999999997,15.0,21.0,0.7140000000000001,6.0,South Carolina State,4.0,18.0,0.222,9.0,2.0,21.0,48.0,0.43799999999999994,24.0,28.0,0.857,7.0,18.0,70.0,2.0,11.0,30.0,22.0,W,3.0,2020,9.0,24.0,south-carolina-upstate,73.0,@,south-carolina-state
101598,10.0,25.0,0.4,19.0,3.0,2019-12-29,33.0,66.0,0.5,15.0,18.0,0.833,12.0,VMI,14.0,29.0,0.483,15.0,5.0,28.0,53.0,0.528,12.0,21.0,0.5710000000000001,9.0,15.0,82.0,6.0,18.0,32.0,19.0,W,8.0,2020,9.0,30.0,south-carolina-upstate,91.0,,virginia-military-institute
101599,7.0,14.0,0.5,12.0,4.0,2020-01-02,28.0,57.0,0.491,12.0,15.0,0.8,10.0,Charleston Southern,11.0,26.0,0.423,16.0,2.0,30.0,56.0,0.536,18.0,23.0,0.7829999999999999,6.0,14.0,89.0,10.0,15.0,26.0,18.0,L,7.0,2020,17.0,29.0,south-carolina-upstate,75.0,@,charleston-southern
101600,8.0,25.0,0.32,11.0,4.0,2020-01-04,23.0,53.0,0.434,19.0,22.0,0.8640000000000001,6.0,Longwood,8.0,24.0,0.33299999999999996,9.0,2.0,18.0,50.0,0.36,12.0,18.0,0.667,3.0,21.0,56.0,12.0,13.0,23.0,18.0,W,6.0,2020,17.0,35.0,south-carolina-upstate,73.0,@,longwood
101601,3.0,18.0,0.16699999999999998,12.0,2.0,2020-01-08,29.0,71.0,0.408,22.0,36.0,0.611,14.0,Hampton,3.0,17.0,0.17600000000000002,9.0,4.0,23.0,56.0,0.41100000000000003,24.0,35.0,0.6859999999999999,8.0,24.0,73.0,5.0,18.0,39.0,24.0,W,9.0,2020,10.0,40.0,south-carolina-upstate,83.0,,hampton
101602,5.0,20.0,0.25,10.0,2.0,2020-01-16,18.0,52.0,0.34600000000000003,18.0,21.0,0.857,7.0,Radford,6.0,23.0,0.261,7.0,8.0,22.0,56.0,0.39299999999999996,13.0,17.0,0.765,7.0,15.0,63.0,3.0,8.0,31.0,20.0,L,4.0,2020,10.0,32.0,south-carolina-upstate,59.0,,radford
